x,y,cumulative_length
1755.0,18541.5,0.0
1808.0,18505.100000000002,64.29587856153644
1887.5,18438.9,167.74968467808344
1957.0,18385.9,255.15248783679226
2027.6000000000001,18314.2,355.77678907660277
2082.8,18256.8,435.4122083321085
2147.9,18192.8,526.7030074303746
2200.8,18155.3,591.5463571279342
2259.3,18122.2,658.7613852094571
2314.5,18099.0,718.6385928931827
2390.6,18086.9,795.6945465891818
2478.9,18084.7,884.0219489057904
2562.8,18086.9,967.9507878111393
2636.7000000000003,18096.8,1042.5109648495556
2715.1000000000004,18110.100000000002,1122.0310880888974
2770.2000000000003,18111.2,1177.1420670313912
2844.2000000000003,18094.600000000002,1252.9811071097042
2899.3,18070.4,1313.1612533375096
2988.7000000000003,18033.9,1409.7252735520804
3073.7000000000003,17994.2,1503.5393982881778
3153.1000000000004,17957.8,1590.885377016452
3229.3,17923.600000000002,1674.4083079995046
3314.2000000000003,17879.5,1770.078679588624
3378.2000000000003,17846.3,1842.1775006608166
3442.2000000000003,17805.5,1918.076380757956
3502.9,17749.2,2000.866355996507
3583.5,17664.3,2117.932021330115
3655.2000000000003,17569.4,2236.872762878163
3703.8,17518.600000000002,2307.176390096109
3771.1000000000004,17449.100000000002,2403.9211057140697
3828.5,17395.0,2482.7980351674923
3894.7000000000003,17349.8,2562.9571269787157
3986.3,17306.8,2664.147838014858
4103.2,17256.0,2791.608616295864
4193.7,17210.8,2892.7683414833123
4254.400000000001,17181.0,2960.3888265451633
4302.900000000001,17125.8,3033.86868773175
4333.8,17062.9,3103.948784763644
4342.7,17006.600000000002,3160.947907563911
4329.400000000001,16917.2,3251.331810998097
4298.5,16842.2,3332.4478390073627
4255.5,16781.5,3406.8352707414942
4195.900000000001,16716.4,3495.0972104437224
4125.3,16632.5,3604.7492510084116
4044.7000000000003,16550.9,3719.4441506334592
3942.1000000000004,16447.2,3865.3223532546876
3854.9,16369.900000000001,3981.851877410585
3785.4,16324.7,4064.7571848402067
3700.5,16281.6,4159.970734296154
3601.1000000000004,16257.400000000001,4262.274204423026
3498.5,16250.7,4365.092733881485
3378.2000000000003,16251.800000000001,4485.397762870301
3263.5,16261.800000000001,4600.532857433167
3166.4,16252.900000000001,4698.039882821085
3053.8,16234.2,4812.182118649896
2956.7000000000003,16208.800000000001,4912.549294559155
2847.5,16192.300000000001,5022.9888255252
2737.1000000000004,16183.400000000001,5133.74698549547
2629.0,16191.1,5242.120875339841
2519.7000000000003,16202.2,5351.983061737164
2400.6,16188.900000000001,5471.823372150647
2281.4,16147.0,5598.173085248857
2199.7000000000003,16059.800000000001,5717.666725246975
2155.6,15945.1,5840.55244451492
2145.7000000000003,15820.400000000001,5965.644810389101
2137.9,15679.1,6107.159933255883
2129.1,15550.0,6236.559508216545
2125.8,15395.5,6391.094746916331
2119.2000000000003,15245.5,6541.2398767074765
2119.2000000000003,15097.6,6689.139876707476
2132.4,14982.900000000001,6804.596924998171
2142.4,14883.5,6904.498676734565
2143.5,14780.900000000001,7007.104573251285
2134.6,14691.5,7096.946489971712
2097.1,14602.2,7193.800710323744
2026.5,14530.400000000001,7294.496291160243
1943.7,14498.400000000001,7383.264754028539
1821.2,14473.1,7508.350084903106
1696.6000000000001,14451.0,7634.894820076088
1588.4,14441.1,7743.546787384554
1483.6000000000001,14410.2,7852.807255990541
1375.4,14361.6,7971.420914563237
1269.5,14286.6,8101.18920807132
1151.4,14202.7,8246.05749307532
1055.4,14087.900000000001,8395.707217431896
984.8000000000001,13973.2,8530.39370524712
952.8000000000001,13869.5,8638.91877147608
941.8000000000001,13763.5,8745.487997803382
944.0,13658.7,8850.311086862997
966.1,13537.300000000001,8973.706265050801
1004.7,13400.5,9115.847743866805
1053.2,13305.6,9222.422881680463
1099.6000000000001,13240.5,9302.36642425896
1170.2,13155.5,9412.862397036251
1204.4,13077.2,9498.305536023532
1196.7,13003.2,9572.705065591937
1141.5,12932.6,9662.323144125234
1031.2,12821.2,9819.090647135265
920.8000000000001,12703.1,9980.75625881567
820.4000000000001,12625.800000000001,10107.466361017507
705.6,12556.300000000001,10241.665056987325
579.8000000000001,12485.7,10385.921772602233
508.1,12401.800000000001,10496.285262942109
498.20000000000005,12331.2,10567.576005679157
575.4,12231.900000000001,10693.35489898006
638.3000000000001,12152.5,10794.650357910854
701.2,12081.800000000001,10889.280691314048
754.2,11970.400000000001,11012.645840363526
795.0,11861.1,11129.312587982547
824.8000000000001,11697.800000000001,11295.309365059693
817.1,11511.300000000001,11481.96825180233
802.7,11365.7,11628.278606869904
807.2,11241.0,11753.059775320919
845.8000000000001,11130.7,11869.918878517887
903.2,11028.0,11987.571120315484
981.5,10944.2,12102.25908829818
1072.0,10901.1,12202.498102658858
1157.0,10866.900000000001,12294.120370694527
1257.4,10809.5,12409.770359886053
1330.2,10738.900000000001,12511.181404649431
1381.0,10650.6,12613.051567111264
1389.8000000000002,10544.7,12719.31656605259
1333.5,10413.400000000001,12862.177967417689
1232.0,10290.900000000001,13021.264421900778
1141.5,10193.800000000001,13153.999722405204
1083.0,10114.400000000001,13252.623299707997
1004.7,10034.900000000001,13364.207976075319
948.4000000000001,9916.800000000001,13495.041075862797
918.6,9762.4,13652.290559168785
899.9000000000001,9627.7,13788.282397159157
838.1,9506.300000000001,13924.507211345119
756.4000000000001,9366.2,14086.688899583958
739.9000000000001,9287.9,14166.708522177421
776.3000000000001,9202.9,14259.174515926476
865.6,9131.2,14373.696915482195
963.9000000000001,9047.300000000001,14502.933520203922
1066.5,8987.7,14621.58814506111
1157.0,8909.4,14741.259110629206
